2023-11-01 02:31:43 status half-installed libasan8:amd64 12.2.0-14
2023-11-01 02:31:43 status unpacked libasan8:amd64 12.2.0-14
2023-11-01 02:31:43 install liblsan0:amd64 <none> 12.2.0-14
2023-11-01 02:31:43 status half-installed liblsan0:amd64 12.2.0-14
2023-11-01 02:31:43 status unpacked liblsan0:amd64 12.2.0-14
2023-11-01 02:31:43 install libtsan2:amd64 <none> 12.2.0-14
2023-11-01 02:31:43 status half-installed libtsan2:amd64 12.2.0-14
2023-11-01 02:31:43 status unpacked libtsan2:amd64 12.2.0-14
2023-11-01 02:31:43 install libubsan1:amd64 <none> 12.2.0-14
2023-11-01 02:31:43 status half-installed libubsan1:amd64 12.2.0-14
2023-11-01 02:31:43 status unpacked libubsan1:amd64 12.2.0-14
2023-11-01 02:31:43 install libquadmath0:amd64 <none> 12.2.0-14
2023-11-01 02:31:43 status half-installed libquadmath0:amd64 12.2.0-14
2023-11-01 02:31:43 status unpacked libquadmath0:amd64 12.2.0-14
2023-11-01 02:31:43 install libgcc-12-dev:amd64 <none> 12.2.0-14
2023-11-01 02:31:43 status half-installed libgcc-12-dev:amd64 12.2.0-14
2023-11-01 02:31:44 status unpacked libgcc-12-dev:amd64 12.2.0-14
2023-11-01 02:31:44 install gcc-12:amd64 <none> 12.2.0-14
2023-11-01 02:31:44 status half-installed gcc-12:amd64 12.2.0-14
2023-11-01 02:31:44 status unpacked gcc-12:amd64 12.2.0-14
2023-11-01 02:31:44 install gcc:amd64 <none> 4:12.2.0-3
2023-11-01 02:31:44 status half-installed gcc:amd64 4:12.2.0-3
2023-11-01 02:31:44 status unpacked gcc:amd64 4:12.2.0-3
2023-11-01 02:31:44 install gnupg-l10n:all <none> 2.2.40-1.1
2023-11-01 02:31:44 status half-installed gnupg-l10n:all 2.2.40-1.1
2023-11-01 02:31:44 status unpacked gnupg-l10n:all 2.2.40-1.1
2023-11-01 02:31:44 install gnupg-utils:amd64 <none> 2.2.40-1.1
2023-11-01 02:31:44 status half-installed gnupg-utils:amd64 2.2.40-1.1
2023-11-01 02:31:45 status unpacked gnupg-utils:amd64 2.2.40-1.1
2023-11-01 02:31:45 install gpg:amd64 <none> 2.2.40-1.1
2023-11-01 02:31:45 status half-installed gpg:amd64 2.2.40-1.1
2023-11-01 02:31:45 status unpacked gpg:amd64 2.2.40-1.1
2023-11-01 02:31:45 install pinentry-curses:amd64 <none> 1.2.1-1
2023-11-01 02:31:45 status half-installed pinentry-curses:amd64 1.2.1-1
2023-11-01 02:31:45 status unpacked pinentry-curses:amd64 1.2.1-1
2023-11-01 02:31:45 install gpg-agent:amd64 <none> 2.2.40-1.1
2023-11-01 02:31:45 status half-installed gpg-agent:amd64 2.2.40-1.1
2023-11-01 02:31:45 status unpacked gpg-agent:amd64 2.2.40-1.1
2023-11-01 02:31:45 install gpg-wks-client:amd64 <none> 2.2.40-1.1
2023-11-01 02:31:45 status half-installed gpg-wks-client:amd64 2.2.40-1.1
2023-11-01 02:31:45 status unpacked gpg-wks-client:amd64 2.2.40-1.1
2023-11-01 02:31:45 install gpg-wks-server:amd64 <none> 2.2.40-1.1
2023-11-01 02:31:45 status half-installed gpg-wks-server:amd64 2.2.40-1.1
2023-11-01 02:31:45 status unpacked gpg-wks-server:amd64 2.2.40-1.1
2023-11-01 02:31:45 install gpgsm:amd64 <none> 2.2.40-1.1
2023-11-01 02:31:45 status half-installed gpgsm:amd64 2.2.40-1.1
2023-11-01 02:31:45 status unpacked gpgsm:amd64 2.2.40-1.1
2023-11-01 02:31:45 install gnupg:all <none> 2.2.40-1.1
2023-11-01 02:31:45 status half-installed gnupg:all 2.2.40-1.1
2023-11-01 02:31:45 status unpacked gnupg:all 2.2.40-1.1
2023-11-01 02:31:45 install libicu72:amd64 <none> 72.1-3
2023-11-01 02:31:45 status half-installed libicu72:amd64 72.1-3
2023-11-01 02:31:46 status unpacked libicu72:amd64 72.1-3
2023-11-01 02:31:46 install icu-devtools:amd64 <none> 72.1-3
2023-11-01 02:31:46 status half-installed icu-devtools:amd64 72.1-3
2023-11-01 02:31:46 status unpacked icu-devtools:amd64 72.1-3
2023-11-01 02:31:46 install libc-dev-bin:amd64 <none> 2.36-9+deb12u3
2023-11-01 02:31:46 status half-installed libc-dev-bin:amd64 2.36-9+deb12u3
2023-11-01 02:31:46 status unpacked libc-dev-bin:amd64 2.36-9+deb12u3
2023-11-01 02:31:46 install linux-libc-dev:amd64 <none> 6.1.55-1
2023-11-01 02:31:46 status half-installed linux-libc-dev:amd64 6.1.55-1
2023-11-01 02:31:46 status unpacked linux-libc-dev:amd64 6.1.55-1
2023-11-01 02:31:46 install libcrypt-dev:amd64 <none> 1:4.4.33-2
2023-11-01 02:31:46 status half-installed libcrypt-dev:amd64 1:4.4.33-2
2023-11-01 02:31:46 status unpacked libcrypt-dev:amd64 1:4.4.33-2
2023-11-01 02:31:46 install libtirpc-dev:amd64 <none> 1.3.3+ds-1
2023-11-01 02:31:46 status half-installed libtirpc-dev:amd64 1.3.3+ds-1
2023-11-01 02:31:46 status unpacked libtirpc-dev:amd64 1.3.3+ds-1
2023-11-01 02:31:46 install libnsl-dev:amd64 <none> 1.3.0-2
